conquering_cost,filename,total_scores,travelling_cost
1943.0,inputs/597.in,14109.0,12166.0
7.0,inputs/606.in,14013.0,14006.0
408.0,inputs/486.in,838.0,430.0
663.0,inputs/717.in,1505.0,842.0
10440.0,inputs/657.in,48430.0,37990.0
12.0,inputs/475.in,52.0,40.0
104.0,inputs/15.in,284.0,180.0
5521.0,inputs/535.in,175931.0,170410.0
77.0,inputs/424.in,328.6,251.6
379011.99600000004,inputs/44.in,525965.1680000001,146953.17199999996
44.0,inputs/564.in,302.0,258.0
2794004.3781,inputs/575.in,2798493.5368999997,4489.1588
158.0,inputs/55.in,9468.0,9310.0
66.0,inputs/435.in,334.0,268.0
34.0,inputs/524.in,78.0,44.0
2644323450.0,inputs/464.in,2723619910.0,79296460.0
5286.0101,inputs/646.in,14792.0105,9506.0004
5222.1284000000005,inputs/497.in,69648.95828,64426.829880000005
615.293,inputs/706.in,1981.6440000000002,1366.351
1933.21,inputs/586.in,4673.21,2740.0
424.0,inputs/617.in,606.0,182.0
22.0,inputs/450.in,252.0,230.0
500134952.9775298,inputs/510.in,6577616249.590973,6077481296.613443
31128605.772699997,inputs/681.in,92078750.92469999,60950145.152
1045.19063,inputs/30.in,2373.1187899999995,1327.9281599999997
50.0,inputs/401.in,54.0,4.0
4516.0,inputs/541.in,5756.0,1240.0
7618.0,inputs/61.in,29088.0,21470.0
20.0,inputs/92.in,1044792.8000000004,1044772.8000000004
625.0,inputs/623.in,1233.0,608.0
1926.0,inputs/672.in,1926.0122,0.012199999999999982
14941.0,inputs/159.in,16045.0,1104.0
65158.0,inputs/388.in,159964.0,94806.0
1318.05104,inputs/108.in,19155.540119999994,17837.489079999996
120.0,inputs/299.in,3456.0,3336.0
1340.0,inputs/289.in,4070.0,2730.0
1506.0,inputs/118.in,2282.0,776.0
220.0,inputs/398.in,662.0,442.0
247.0,inputs/149.in,538.0,291.00000000000006
16012.0,inputs/662.in,26042.0,10030.0
58.0,inputs/722.in,186.0,128.0
137.0,inputs/82.in,599.0,462.0
288.0,inputs/633.in,741636614.0,741636326.0
347195145.32822,inputs/551.in,965923019.32822,618727874.0
7500.0,inputs/71.in,15500.0,8000.0
15065.0,inputs/411.in,44515.0,29450.0
33.0,inputs/691.in,125.0,92.0
92.0,inputs/500.in,204.0,112.0
200.0,inputs/20.in,3200.0,3000.0
273544.88139999995,inputs/440.in,274717.38219999993,1172.5008000000003
23090501488.0,inputs/607.in,70836962184.0,47746460696.0
142.0,inputs/596.in,542.0,400.0
1477.0,inputs/716.in,822735511.0,822734034.0
679.0,inputs/487.in,1771.0,1092.0
88.5,inputs/656.in,296.44426,207.94425999999999
8.0,inputs/474.in,48.0,40.0
5484.0,inputs/534.in,168484.0,163000.0
6672.0,inputs/14.in,23640.0,16968.0
710.0,inputs/425.in,2648.0,1938.0
16.0,inputs/565.in,208.0,192.0
20.2,inputs/45.in,1240.8,1220.6
4127666494.99521,inputs/405.in,13900785350.021011,9773118855.0258
75.0,inputs/65.in,155.0,80.0
10.0,inputs/545.in,52.0,42.0
